order_id,date,channel,product_line,sku,qty,sale_price,shipping_charged,channel_fees,shipping_cost,cost_of_goods,status,refund_amount,return_reason,notes
E-2026-0601,2026-06-02,etsy,terrarium,TERR-MOSS-M,1,48.00,0.00,5.10,9.40,14.00,completed,0,,Closed moss jar; double-boxed
E-2026-0603,2026-06-03,etsy,plants,PLNT-ALBO-NODE,1,65.00,0.00,6.60,8.90,9.00,completed,0,,Rooted node; heat pack
E-2026-0605,2026-06-05,etsy,plants,PLNT-ALBO-NODE,1,65.00,0.00,6.60,8.90,9.00,refunded,73.90,dead-on-arrival,Heatwave in transit; total loss
E-2026-0608,2026-06-08,etsy,3dprint,PRNT-HEX-PLANTER,1,24.00,0.00,2.85,4.60,3.20,completed,0,,PETG hex planter
E-2026-0610,2026-06-10,etsy,3dprint,PRNT-HEX-PLANTER,2,48.00,0.00,5.30,6.10,6.40,completed,0,,Two-pack
E-2026-0612,2026-06-12,etsy,wood,WOOD-BOARD-PERS,1,42.00,0.00,4.60,8.80,11.00,completed,0,,Personalised cutting board
E-2026-0615,2026-06-15,etsy,wood,WOOD-COASTER-SET,1,28.00,0.00,3.20,6.90,7.50,partial-refund,6.00,not-as-described,Grain not as pictured; kept
A-2026-0602,2026-06-02,amazon,resale,RES-KITCHEN-GADGET,1,19.99,0.00,3.00,4.10,8.00,completed,0,,Overstock kitchen tool
A-2026-0604,2026-06-04,amazon,resale,RES-KITCHEN-GADGET,1,19.99,0.00,3.00,4.10,8.00,completed,0,,
A-2026-0607,2026-06-07,amazon,resale,RES-KITCHEN-GADGET,1,19.99,0.00,3.00,4.10,8.00,refunded,19.99,changed-mind,Returned; resaleable
A-2026-0609,2026-06-09,amazon,resale,RES-PHONE-STAND,1,12.99,0.00,1.95,3.80,7.50,completed,0,,Thin margin resale
A-2026-0611,2026-06-11,amazon,resale,RES-PHONE-STAND,1,12.99,0.00,1.95,3.80,7.50,completed,0,,
A-2026-0613,2026-06-13,amazon,3dprint,PRNT-CABLE-CLIP,4,15.96,0.00,2.40,3.90,2.00,completed,0,,Repeatable printed SKU
F-2026-0606,2026-06-06,facebook,terrarium,TERR-LARGE-LOCAL,1,120.00,0.00,0.00,0.00,38.00,completed,0,,Local pickup large build
F-2026-0614,2026-06-14,facebook,resale,RES-PALLET-MISC,1,35.00,0.00,0.00,0.00,12.00,completed,0,,Local liquidation flip
F-2026-0616,2026-06-16,facebook,wood,WOOD-SHELF-LOCAL,1,55.00,0.00,0.00,0.00,22.00,completed,0,,Local pickup floating shelf
